NodeId	d_1	d_2	clu	clo	n_triad	eig1	eig2
0	12	172	0.12121	0.081218	8	0.013507	0.014723
1	10	112	0.022222	0.016807	1	0.0081715	0.009545
2	8	87	0.071429	0.044444	2	0.0056682	0.0068044
3	7	86	0	0	0	0.0054802	0.0068623
4	10	115	0.022222	0.016949	1	0.0076329	0.0093854
5	7	70	0	0	0	0.0043712	0.0055761
6	6	56	0	0	0	0.004335	0.0049713
7	12	151	0.015152	0.012658	1	0.011521	0.013377
8	7	94	0.14286	0.059406	3	0.0078592	0.0089077
9	12	213	0.030303	0.018182	2	0.014989	0.018
10	6	88	0.066667	0.021505	1	0.0065464	0.0079864
11	9	103	0	0	0	0.0077187	0.0092862
12	10	123	0.044444	0.030769	2	0.0091131	0.010734
13	8	87	0.071429	0.042553	2	0.0068709	0.0077691
14	8	70	0.25	0.16867	7	0.0056457	0.0061339
15	8	96	0.10714	0.056075	3	0.0068571	0.0078078
16	18	199	0.045752	0.063348	7	0.018386	0.01899
17	10	181	0.13333	0.057143	6	0.016297	0.016725
18	20	231	0.063158	0.086957	12	0.023037	0.02109
19	36	394	0.050794	0.12851	32	0.044281	0.036341
20	16	195	0.1	0.099585	12	0.018409	0.016844
21	6	86	0.066667	0.021277	1	0.0069151	0.0075856
22	19	256	0.023392	0.027778	4	0.022825	0.023233
23	12	139	0	0	0	0.01165	0.012476
24	7	109	0	0	0	0.0077755	0.0092156
25	18	205	0.019608	0.026087	3	0.016637	0.017597
26	15	143	0.028571	0.0375	3	0.011579	0.012347
27	12	201	0.060606	0.036364	4	0.016794	0.018768
28	5	67	0.1	0.026667	1	0.0057102	0.006388
29	21	241	0.038095	0.059259	8	0.023394	0.022981
30	7	97	0.095238	0.038835	2	0.0068072	0.0081952
31	6	62	0	0	0	0.0048174	0.0057547
32	9	120	0.027778	0.015267	1	0.0093099	0.010728
33	9	65	0	0	0	0.0053704	0.0053646
34	7	75	0.047619	0.02439	1	0.0047922	0.0057551
35	37	390	0.018018	0.05492	12	0.034708	0.033572
36	7	87	0.095238	0.043956	2	0.006606	0.0078261
37	8	80	0.035714	0.02381	1	0.0053295	0.0066172
38	12	141	0.015152	0.013514	1	0.010989	0.012537
39	6	66	0.26667	0.10811	4	0.0047391	0.005582
40	13	205	0.064103	0.045249	5	0.01536	0.018013
41	7	76	0.047619	0.02439	1	0.0063117	0.0073318
42	8	90	0.17857	0.1	5	0.0077471	0.0085495
43	14	186	0.087912	0.07767	8	0.015027	0.016715
44	29	322	0.041872	0.088312	17	0.02983	0.028317
45	14	209	0.021978	0.018182	2	0.017014	0.019443
46	10	165	0.13333	0.0625	6	0.013332	0.014549
47	8	105	0	0	0	0.0083365	0.0097592
48	6	67	0	0	0	0.0048505	0.0059312
49	14	214	0.043956	0.035242	4	0.01537	0.017961
50	9	100	0.055556	0.038462	2	0.0081509	0.0097916
51	10	122	0.022222	0.015625	1	0.0087499	0.010465
52	10	122	0.066667	0.045113	3	0.009319	0.010732
53	14	191	0.032967	0.029268	3	0.014412	0.016711
54	19	231	0.05848	0.07722	10	0.020038	0.020982
55	7	65	0.047619	0.028571	1	0.0045966	0.0055181
56	13	168	0.064103	0.055866	5	0.01309	0.014821
57	23	254	0.055336	0.096552	14	0.023147	0.023384
58	7	83	0.095238	0.045455	2	0.0062229	0.0073497
59	6	71	0	0	0	0.0046335	0.005984
60	5	55	0	0	0	0.0038957	0.0050944
61	10	107	0	0	0	0.0076994	0.0096537
62	8	64	0.071429	0.057143	2	0.0046915	0.0050208
63	10	118	0.088889	0.062016	4	0.0091989	0.010194
64	29	339	0.054187	0.10864	22	0.03036	0.029138
65	10	123	0.088889	0.061538	4	0.0088325	0.010456
66	10	120	0.066667	0.047244	3	0.0085412	0.010106
67	5	38	0	0	0	0.0025223	0.0030836
68	7	94	0.047619	0.020619	1	0.0064123	0.007994
69	24	277	0.036232	0.064516	10	0.022776	0.023549
70	9	146	0.13889	0.059172	5	0.01193	0.012676
71	17	215	0.058824	0.069264	8	0.01736	0.0192
72	6	64	0.26667	0.10526	4	0.0054592	0.005473
