NodeId	d_1	d_2	clu	clo	n_triad	eig1	eig2
0	9	102	0.22222	0.11268	8	0.037483	0.053048
1	14	102	0.17582	0.20126	16	0.044575	0.054008
2	15	154	0.12381	0.11111	13	0.067453	0.080314
3	29	179	0.1133	0.22384	46	0.12939	0.092462
4	10	105	0.2	0.11392	9	0.049712	0.058266
5	11	135	0.036364	0.023392	2	0.053372	0.072687
6	8	87	0.14286	0.065041	4	0.037965	0.047604
7	16	129	0.10833	0.11982	13	0.065502	0.06922
8	9	114	0.19444	0.08589	7	0.047462	0.060521
9	11	105	0.25455	0.15909	14	0.055335	0.057175
10	36	188	0.1	0.25352	63	0.16975	0.09668
11	16	123	0.20833	0.20161	25	0.080322	0.065709
12	11	118	0.30909	0.16346	17	0.06492	0.0639
13	19	140	0.16374	0.20072	28	0.092658	0.074926
14	11	93	0.16364	0.12414	9	0.044359	0.05004
15	12	134	0.10606	0.074866	7	0.05514	0.070978
16	8	83	0.071429	0.038095	2	0.029511	0.043874
17	11	114	0.090909	0.063694	5	0.045307	0.059631
18	30	203	0.085057	0.16481	37	0.14124	0.10338
19	14	160	0.16484	0.10204	15	0.086636	0.085699
20	9	107	0.27778	0.12346	10	0.052585	0.059453
21	30	196	0.10575	0.20628	46	0.14836	0.10163
22	7	74	0.19048	0.080808	4	0.03283	0.041746
23	4	30	0.33333	0.10526	2	0.011457	0.016051
24	9	82	0.13889	0.086957	5	0.035965	0.044932
25	9	88	0.16667	0.096	6	0.04041	0.049545
26	15	116	0.19048	0.19048	20	0.074491	0.062559
27	13	108	0.26923	0.20792	21	0.067889	0.057979
28	28	176	0.10582	0.20101	40	0.13364	0.092344
29	12	117	0.21212	0.14815	14	0.06159	0.064264
30	7	88	0.28571	0.095238	6	0.033914	0.046274
31	18	138	0.098039	0.12552	15	0.073601	0.071953
32	5	39	0.1	0.038462	1	0.017072	0.022304
33	9	94	0.30556	0.14765	11	0.044973	0.050887
34	8	91	0.28571	0.11268	8	0.04204	0.048662
35	10	112	0.33333	0.1676	15	0.056016	0.06132
36	10	104	0.24444	0.14103	11	0.05252	0.058372
37	17	138	0.16912	0.17829	23	0.080517	0.073528
38	12	124	0.10606	0.080925	7	0.048902	0.066194
39	10	102	0.2	0.12081	9	0.044446	0.055858
40	8	80	0.071429	0.037736	2	0.034161	0.045296
41	10	101	0.044444	0.031496	2	0.039236	0.054906
42	13	123	0.19231	0.13699	15	0.073398	0.068243
43	26	191	0.10154	0.16418	33	0.13379	0.10048
44	9	111	0.25	0.10286	9	0.056253	0.060528
45	14	143	0.16484	0.12605	15	0.075841	0.076035
46	24	159	0.076087	0.13376	21	0.10288	0.083338
47	8	110	0.28571	0.098765	8	0.04624	0.059919
48	8	108	0.21429	0.078947	6	0.042734	0.057999
49	11	130	0.21818	0.1206	12	0.057008	0.069163
50	28	168	0.087302	0.17935	33	0.11681	0.085441
51	13	115	0.29487	0.21801	23	0.065907	0.06215
52	17	147	0.14706	0.14545	20	0.080385	0.077054
53	8	89	0.21429	0.10256	6	0.034703	0.048385
54	9	105	0.11111	0.061069	4	0.037299	0.056115
55	26	177	0.086154	0.16185	28	0.10776	0.092319
56	8	106	0.25	0.10219	7	0.039179	0.058016
57	9	80	0.11111	0.074074	4	0.03414	0.044749
58	11	98	0.090909	0.070922	5	0.045021	0.053339
59	10	131	0.088889	0.044693	4	0.05569	0.072427
60	10	116	0.17778	0.09816	8	0.051505	0.06353
61	9	96	0.22222	0.10323	8	0.048624	0.052555
62	7	73	0.095238	0.043478	2	0.027372	0.039911
63	20	131	0.078947	0.13453	15	0.069815	0.067629
64	13	141	0.11538	0.086538	9	0.056456	0.07285
65	21	142	0.095238	0.16667	20	0.074742	0.072643
66	13	129	0.23077	0.14815	18	0.069141	0.066706
67	18	140	0.1634	0.1845	25	0.081255	0.07407
68	11	111	0.21818	0.13714	12	0.052562	0.060297
69	11	110	0.090909	0.068493	5	0.039251	0.058405
70	8	75	0.14286	0.083333	4	0.029721	0.04194
71	13	134	0.17949	0.13793	14	0.060099	0.072457
72	18	141	0.13072	0.16736	20	0.071935	0.074385
73	13	110	0.16667	0.14607	13	0.057051	0.060278
74	10	145	0.13333	0.0553	6	0.064014	0.078683
75	7	85	0.2381	0.09434	5	0.031705	0.046597
76	32	182	0.084677	0.20192	42	0.14136	0.095615
77	14	114	0.18681	0.17436	17	0.057782	0.060246
78	10	92	0.24444	0.15493	11	0.038082	0.050421
79	6	74	0.26667	0.086022	4	0.025865	0.040932
80	8	76	0.17857	0.093458	5	0.029629	0.04023
81	12	124	0.18182	0.125	12	0.05274	0.065306
82	13	113	0.15385	0.13953	12	0.051395	0.060301
83	28	169	0.12963	0.26344	49	0.1164	0.088552
84	15	118	0.13333	0.14894	14	0.05328	0.060851
85	9	87	0.16667	0.10169	6	0.034724	0.047107
86	15	166	0.07619	0.057971	8	0.080372	0.087755
87	12	114	0.15152	0.11494	10	0.05268	0.062171
88	10	125	0.2	0.10112	9	0.054691	0.068892
89	18	150	0.11111	0.12879	17	0.086028	0.080248
90	21	143	0.12381	0.17869	26	0.096796	0.076365
91	9	96	0.13889	0.077519	5	0.039743	0.051729
92	8	102	0.28571	0.11348	8	0.041558	0.056521
93	7	54	0.28571	0.15385	6	0.024878	0.029172
94	14	128	0.087912	0.084656	8	0.058035	0.067885
95	11	106	0.12727	0.10072	7	0.040738	0.056762
96	18	152	0.078431	0.096	12	0.077266	0.080826
97	8	70	0.28571	0.13793	8	0.03158	0.037441
98	13	119	0.28205	0.22222	22	0.057369	0.062445
99	14	113	0.16484	0.16129	15	0.052646	0.058325
100	12	123	0.12121	0.086957	8	0.054404	0.06597
101	8	89	0.071429	0.036697	2	0.027513	0.046266
102	6	62	0	0	0	0.021219	0.033571
103	10	104	0.15556	0.089172	7	0.046097	0.056094
104	11	132	0.14545	0.082051	8	0.058346	0.07125
105	14	121	0.15385	0.14286	14	0.062406	0.06615
106	10	113	0.24444	0.12571	11	0.058244	0.063461
107	7	72	0.047619	0.022989	1	0.029095	0.040615
108	14	126	0.21978	0.18605	20	0.063875	0.06859
109	11	149	0.2	0.096916	11	0.066379	0.079305
110	13	131	0.17949	0.12613	14	0.066368	0.070961
111	10	116	0.24444	0.12865	11	0.045912	0.060746
112	11	132	0.16364	0.090909	9	0.056709	0.070768
113	11	101	0.18182	0.12121	10	0.044632	0.053345
114	7	62	0.38095	0.15534	8	0.02938	0.033519
115	14	115	0.16484	0.15464	15	0.054452	0.059265
116	9	115	0.13889	0.0625	5	0.04735	0.062004
117	18	148	0.058824	0.08	9	0.068898	0.077274
118	7	78	0.19048	0.072072	4	0.030367	0.0412
119	9	110	0.30556	0.13018	11	0.05091	0.060855
120	36	181	0.074603	0.22651	47	0.14083	0.095412
121	9	110	0.22222	0.10127	8	0.048555	0.060426
122	27	210	0.12536	0.18526	44	0.15305	0.10849
123	10	104	0.24444	0.12865	11	0.056989	0.058067
124	12	133	0.060606	0.041451	4	0.058887	0.070947
125	6	55	0.2	0.077922	3	0.026703	0.031179
126	16	154	0.1	0.095618	12	0.072911	0.080992
127	11	96	0.21818	0.15789	12	0.044091	0.052011
128	10	110	0.28889	0.14857	13	0.050741	0.06009
129	12	132	0.10606	0.067633	7	0.056385	0.068557
130	13	94	0.076923	0.090226	6	0.039096	0.05005
131	21	140	0.095238	0.14815	20	0.075531	0.071383
132	13	115	0.15385	0.13333	12	0.054179	0.060248
133	9	121	0.27778	0.10526	10	0.052867	0.063434
134	13	121	0.20513	0.15764	16	0.06096	0.064072
135	19	147	0.11696	0.14493	20	0.083021	0.076063
136	10	114	0.24444	0.11957	11	0.055566	0.0627
137	9	111	0.25	0.11111	9	0.047136	0.059966
138	28	173	0.12169	0.23469	46	0.13663	0.091878
139	11	129	0.2	0.10837	11	0.064583	0.070266
140	14	149	0.098901	0.077253	9	0.072252	0.079038
141	12	143	0.15152	0.089686	10	0.069014	0.077971
142	14	147	0.12088	0.093617	11	0.069043	0.077982
143	34	167	0.074866	0.23932	42	0.11655	0.086381
144	10	105	0.24444	0.13665	11	0.047144	0.056315
145	10	110	0.13333	0.075949	6	0.043574	0.058154
146	5	45	0.1	0.037037	1	0.013216	0.022451
147	10	109	0.022222	0.014925	1	0.037177	0.05751
148	12	116	0.12121	0.093567	8	0.048063	0.06043
149	9	108	0.19444	0.097222	7	0.040556	0.057601
150	24	175	0.097826	0.1677	27	0.10125	0.091321
151	5	55	0.2	0.055556	2	0.020391	0.029286
152	8	78	0.17857	0.092593	5	0.029754	0.040333
153	9	94	0.16667	0.087591	6	0.043192	0.050354
154	9	118	0.33333	0.12371	12	0.061081	0.064126
155	7	85	0.38095	0.125	8	0.043249	0.048147
156	35	195	0.090756	0.2293	54	0.16083	0.10006
157	10	121	0.22222	0.10638	10	0.05493	0.063947
158	9	102	0.30556	0.13665	11	0.0489	0.055064
159	12	132	0.21212	0.12335	14	0.067288	0.071874
160	16	131	0.1	0.11268	12	0.060568	0.068097
161	9	82	0.13889	0.089286	5	0.030725	0.042847
162	10	86	0.13333	0.10909	6	0.025758	0.042453
163	7	73	0.047619	0.023256	1	0.020899	0.036515
164	6	52	0.2	0.085714	3	0.017456	0.025601
165	27	156	0.099715	0.23179	35	0.083794	0.077802
166	12	107	0.19697	0.14689	13	0.049054	0.055644
167	14	123	0.14286	0.1383	13	0.055036	0.064336
168	7	72	0.28571	0.12	6	0.029342	0.039217
169	13	128	0.16667	0.11765	13	0.069387	0.067138
170	12	123	0.27273	0.17062	18	0.069598	0.065713
171	31	179	0.12258	0.27941	57	0.13767	0.09199
172	8	95	0.14286	0.061069	4	0.039112	0.051275
173	11	89	0.16364	0.14173	9	0.040494	0.047768
174	14	118	0.15385	0.13861	14	0.059149	0.061299
175	9	119	0.16667	0.068966	6	0.047658	0.062801
176	14	120	0.054945	0.054945	5	0.048934	0.061554
177	5	37	0.2	0.086957	2	0.010809	0.018614
178	10	98	0.11111	0.075188	5	0.031883	0.049379
179	8	104	0.17857	0.076923	5	0.034802	0.054382
180	8	70	0.25	0.14433	7	0.026932	0.036895
181	10	109	0.37778	0.19883	17	0.046693	0.056463
182	32	186	0.070565	0.18135	35	0.12049	0.093515
183	6	78	0.26667	0.08	4	0.027537	0.041873
184	6	61	0.2	0.083333	3	0.021216	0.033696
185	12	121	0.090909	0.065574	6	0.053278	0.062646
186	12	132	0.15152	0.098522	10	0.063916	0.069727
187	21	152	0.10476	0.15658	22	0.09016	0.079267
188	10	119	0.15556	0.078212	7	0.052408	0.063233
189	7	62	0.095238	0.052632	2	0.022172	0.033854
190	5	41	0.2	0.074074	2	0.01363	0.020086
191	11	113	0.12727	0.08589	7	0.044518	0.059193
192	9	69	0.055556	0.050633	2	0.021459	0.03523
193	8	103	0.035714	0.017094	1	0.031332	0.053849
194	8	75	0.035714	0.021505	1	0.02309	0.038269
195	9	98	0.16667	0.090909	6	0.032487	0.049826
196	10	96	0.11111	0.08	5	0.032061	0.049431
197	9	103	0.16667	0.086331	6	0.038385	0.053954
198	14	135	0.23077	0.18103	21	0.066641	0.070398
199	15	139	0.15238	0.13278	16	0.069621	0.07291
200	9	71	0.083333	0.073171	3	0.02456	0.037649
201	9	103	0.083333	0.044776	3	0.037024	0.05378
202	9	113	0.25	0.11321	9	0.047312	0.060101
203	11	140	0.2	0.094421	11	0.069505	0.074728
204	15	113	0.085714	0.097826	9	0.061978	0.061261
205	6	59	0.066667	0.030303	1	0.018815	0.030373
206	11	85	0.072727	0.07767	4	0.026235	0.042349
